t,cell_edge_contrib_mean,cell_edge_contrib_max,out_edge_contrib_mean,out_edge_contrib_max
97,0.01809546910226345,0.44028693437576294,0.06806746125221252,0.5797222256660461
98,0.018135635182261467,0.44207319617271423,0.06811272352933884,0.579002857208252
99,0.01817076839506626,0.4441686272621155,0.0681987777352333,0.5797829031944275
100,0.018052905797958374,0.4415312707424164,0.06801661849021912,0.580680787563324
101,0.0180367324501276,0.43871432542800903,0.06789908558130264,0.5779969096183777
102,0.018140453845262527,0.44283777475357056,0.06810923665761948,0.578264057636261
103,0.01812802068889141,0.4418122172355652,0.06812887638807297,0.5796678066253662
104,0.018128901720046997,0.4406680762767792,0.06810668855905533,0.5795402526855469
105,0.01809360831975937,0.4402715861797333,0.06806008517742157,0.5795973539352417
106,0.018120314925909042,0.4418920874595642,0.06808736175298691,0.5790365934371948
107,0.018163736909627914,0.4439740777015686,0.06817768514156342,0.5795305371284485
108,0.01804909110069275,0.4413876533508301,0.06800682097673416,0.5805404186248779
109,0.01802457682788372,0.43829604983329773,0.06787512451410294,0.5779062509536743
110,0.01814170926809311,0.4427703619003296,0.06810418516397476,0.578046441078186
111,0.01812952570617199,0.4420044422149658,0.0681333988904953,0.5796935558319092
112,0.01813366636633873,0.4406707286834717,0.06811373680830002,0.5795540809631348
113,0.018093138933181763,0.44030317664146423,0.06806236505508423,0.5796802043914795
114,0.01811843551695347,0.44189155101776123,0.06808347254991531,0.5790295600891113
115,0.01816396228969097,0.443920373916626,0.06817582249641418,0.5794607400894165
116,0.018045848235487938,0.4413561224937439,0.06800180673599243,0.5805483460426331
117,0.018028585240244865,0.43857645988464355,0.06788165867328644,0.5779107213020325
118,0.018141483888030052,0.4428424835205078,0.06810542196035385,0.5780961513519287
119,0.018129650503396988,0.44200488924980164,0.06813258677721024,0.5796825885772705
120,0.01812022179365158,0.44058406352996826,0.06809528172016144,0.5797775983810425
121,0.018082942813634872,0.4400189518928528,0.06803860515356064,0.579494833946228
122,0.01812196522951126,0.44176220893859863,0.06808629631996155,0.5788654088973999
123,0.018162770196795464,0.44376808404922485,0.06817835569381714,0.5795604586601257
124,0.018060609698295593,0.4416521191596985,0.06802786141633987,0.5805848836898804
125,0.01805342547595501,0.4389567971229553,0.06793041527271271,0.5780574083328247
126,0.018163839355111122,0.44327741861343384,0.06815380603075027,0.5785900354385376
127,0.018147824332118034,0.44249439239501953,0.06817764788866043,0.5801230072975159
