x,f_ij
1.3157894736842106,0.24507725
1.3308270676691727,0.2463812
1.3458646616541348,0.24766417
1.3609022556390977,0.24892636
1.3759398496240598,0.2501679
1.3909774436090228,0.25138903
1.4060150375939848,0.25258973
1.421052631578947,0.25377026
1.4360902255639099,0.25493073
1.451127819548872,0.25607124
1.466165413533834,0.25719196
1.481203007518797,0.2582931
1.496240601503759,0.2593747
1.511278195488721,0.26043707
1.526315789473684,0.26148087
1.5413533834586461,0.26250714
1.556390977443609,0.26351702
1.5714285714285712,0.26451156
1.5864661654135332,0.26549166
1.6015037593984962,0.2664585
1.6165413533834583,0.2674131
1.6315789473684212,0.2683565
1.6466165413533833,0.26928976
1.6616541353383454,0.27021384
1.6766917293233083,0.27112988
1.6917293233082704,0.27203888
1.7067669172932325,0.27294195
1.7218045112781954,0.27384004
1.7368421052631575,0.27473432
1.7518796992481196,0.27562574
1.7669172932330826,0.27651533
1.7819548872180446,0.2774042
1.7969924812030076,0.27829334
1.8120300751879697,0.27918386
1.8270676691729317,0.28007677
1.8421052631578947,0.28097314
1.8571428571428568,0.28187397
1.8721804511278197,0.28278038
1.8872180451127818,0.2836933
1.9022556390977439,0.2846139
1.9172932330827068,0.28554314
1.932330827067669,0.28648207
1.947368421052631,0.28743178
1.962406015037594,0.28839338
1.977443609022556,0.28936777
1.992481203007518,0.2903561
2.007518796992481,0.29135936
2.022556390977443,0.2923786
2.037593984962406,0.29341486
2.052631578947368,0.29446924
2.06766917293233,0.29554278
2.082706766917293,0.29663643
2.0977443609022552,0.29775137
2.112781954887218,0.29888856
2.1278195488721803,0.30004907
2.1428571428571423,0.30123395
2.1578947368421053,0.30244428
2.1729323308270674,0.30368102
2.1879699248120295,0.3049453
2.2030075187969924,0.30623809
2.2180451127819545,0.30756047
2.2330827067669166,0.30891353
2.2481203007518795,0.31029826
2.2631578947368416,0.31171548
2.2781954887218046,0.31316492
2.2932330827067666,0.31464568
2.3082706766917287,0.31615692
2.3233082706766917,0.31769785
2.3383458646616537,0.3192677
2.3533834586466167,0.32086554
2.3684210526315788,0.32249066
2.383458646616541,0.32414216
2.398496240601504,0.32581928
2.413533834586466,0.32752123
2.428571428571428,0.3292471
2.443609022556391,0.3309961
2.458646616541353,0.33276743
2.473684210526315,0.33456033
2.488721804511278,0.33637384
2.50375939849624,0.3382072
2.518796992481203,0.34005964
2.533834586466165,0.3419303
2.548872180451127,0.34381837
2.56390977443609,0.34572303
2.578947368421052,0.34764346
2.593984962406015,0.34957886
2.6090225563909772,0.3515284
2.6240601503759393,0.35349125
2.6390977443609023,0.35546654
2.6541353383458643,0.35745358
2.6691729323308264,0.35945144
2.6842105263157894,0.36145937
2.6992481203007515,0.36347649
2.7142857142857135,0.36550203
2.7293233082706765,0.36753517
2.7443609022556386,0.36957508
2.7593984962406015,0.3716209
2.7744360902255636,0.37367186
2.7894736842105257,0.37572715
2.8045112781954886,0.3777859
2.8195488721804507,0.37984732
2.8345864661654137,0.38191056
2.8496240601503757,0.38397488
2.864661654135338,0.3860394
2.8796992481203008,0.38810334
2.894736842105263,0.3901658
2.909774436090225,0.3922261
2.924812030075188,0.3942833
2.93984962406015,0.39633662
2.954887218045112,0.39838523
2.969924812030075,0.4004283
2.984962406015037,0.40246505
3.0,0.4044946
